Name #1,Name #2,Event,Location,Stadt,Type,Year,Channel,Uploaded,URL,Views,ID,hidden,Processed
Bong Teggy,Fate,,,,On Beat,2024,DLTLLY,2024-12-01,https://www.youtube.com/watch?v=uwVdRxPLKtk,43648,uwVdRxPLKtk,  Feel Festival,
VYRUS,MORGANA,,,,Accapella,2024,FOB,2024-11-29,https://www.youtube.com/watch?v=9YCHMLzIcus,23338,9YCHMLzIcus,RAP BATTLE,
Joseph Steinschleuder,BanDan,,,,On Beat,2024,DLTLLY,2024-11-28,https://www.youtube.com/watch?v=GV0mRT9rTv0,21077,GV0mRT9rTv0,  Feel Festival,
Ferry & Duzoe,Sizyphos & Fate,,,,On Beat,2024,DLTLLY,2024-11-24,https://www.youtube.com/watch?v=fZyWsFSPtxE,57055,fZyWsFSPtxE,2on2   Splash,
3 &quot;ZINZITYS&quot;,NATALI,,,,Accapella,2024,FOB,2024-11-24,https://www.youtube.com/watch?v=AnW-N-13mEk,10186,AnW-N-13mEk,RAP BATTLE,
KARANOVA,STEEL,,,,Accapella,2024,FOB,2024-11-22,https://www.youtube.com/watch?v=hCjCg8iUEiM,18631,hCjCg8iUEiM,RAP BATTLE,
Kid Soldier,Lyrico,,,,Accapella,2024,DLTLLY,2024-11-21,https://www.youtube.com/watch?v=rh_32fJVF_Y,19862,rh_32fJVF_Y,&amp; Interview Splash Festival,
Freestyle Turnier 4/7: Fate,Shizu,,,,Accapella,2024,DLTLLY,2024-11-19,https://www.youtube.com/watch?v=9W-6Wv-_xC0,8981,9W-6Wv-_xC0,Vorrunde B-DAY 11,
DER KATER,JAMAIKA KLAUS,,,,Accapella,2024,FOB,2024-11-17,https://www.youtube.com/watch?v=znyQsdCEmYA,3858,znyQsdCEmYA,RAP BATTLE,
Bong Teggy,Hiding John,,,,Accapella,2024,DLTLLY,2024-11-17,https://www.youtube.com/watch?v=-XMBtTEwHcc,145558,-XMBtTEwHcc,  Bday 11,
Bong Teggy,Hiding John,,,,Accapella,2024,DLTLLY,2024-11-17,https://www.youtube.com/watch?v=B4qGn4U-Ju4,13549,B4qGn4U-Ju4,Interview Event Name oder Stadt,
FABS,YOUNG KENNEDY,,,,Accapella,2024,FOB,2024-11-15,https://www.youtube.com/watch?v=jyYNsrDR9BQ,8665,jyYNsrDR9BQ,RAP BATTLE,
TICC,GEORGIE,,,,Accapella,2024,FOB,2024-11-10,https://www.youtube.com/watch?v=mxTayKYnmQk,3602,mxTayKYnmQk,RAP BATTLE,
LuckyLily & Sh@wdy Sh@f,Shizu & Morgana,,,,On Beat,2024,DLTLLY,2024-11-10,https://www.youtube.com/watch?v=YeUReNWt9ho,79793,YeUReNWt9ho,Battle + Interview Feel Festival,
KIRUMA,TOKZ,,,,Accapella,2024,FOB,2024-11-08,https://www.youtube.com/watch?v=hRe2Ze0d9oY,7865,hRe2Ze0d9oY,RAP BATTLE,
Moonshadow,Riesenlauch,,,,Accapella,2024,DLTLLY,2024-11-07,https://www.youtube.com/watch?v=4TPCafzSUg4,7727,4TPCafzSUg4,  Proving Grounds,
