Name #1,Name #2,Event,Type,Year,Channel,Uploaded,Views
FAIVEL,MAZZIKANER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-09-24,4021
DEZ,MC Rabiat,Battle,Accapella,2023,Unknown,2023-09-23,5258
JOSEPH STEINSCHLEUDER,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-09-21,23257
NOTYZZE,PATO G (FINALE),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,8785
VYRUS,KOOZY,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,12195
REQUIEM,ALADIN,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5300
NASTIC (FINNASTIC),CRIPSTA,ON BEAT BATTLE,On Beat,2023,FOB,2023-08-10,5516
ROLLING G,ATROPATRAP,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,17535
TEACH,DJANGO (BATTLE UM PLATZ 3),FREESTYLE BATTLE,Accapella,2023,FOB,2023-08-10,2571
FAIVEL,TRIPLE,MIXED MARTIAL BARS,Accapella,2023,FOB,2023-08-10,4647
DER SERGEANT,MUSIO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,4194
DAVIE JONES,KIRUMA,ACAPELLA BATTLE,Accapella,2023,FOB,2023-08-10,44005
MALIK,JEPAIN,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-28,2709
RIPA,CIZERO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-23,1772
DER SERGEANT,CLOCKWORK,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-21,3241
YOUNG KENNEDY,LIUZ,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-16,3903
BARETTA,OLDBOY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-07-14,2778
Jindo109,Liuz,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-07-07,52527
FINNASTIC,FAIVEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-07-07,4340
Mavgic,Bong Teggy,🏆  Titlematch 🏆,On Beat,2023,DLTLLY,2023-07-02,105801
EZRA,TECEY,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,2339
MOODY,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-30,3462
Kiruma,Jeystone,Battle,Accapella,2023,Unknown,2023-06-24,23391
LARA SOFT,MAT052,ON BEAT BATTLE,On Beat,2023,FOB,2023-06-21,5247
Mars,ZinZity,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-18,53043
Julo,SnakeHeadRhyme,Battle,Accapella,2023,Unknown,2023-06-17,12693
LUCKYLILY,CRAZYO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-11,5624
Mc Geuner,DeeLah,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-11,33410
FreeKno,LevRudi,Battle,Accapella,2023,Unknown,2023-06-10,10947
Swear Boss,Chaarlz,Bars von Chaarlz,On Beat,2023,DLTLLY,2023-06-09,25795
MC GEUNER,JOSEPH STEINSCHLEUDER,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-08,30793
THORA,NICK SHIT,ACAPELLA BATTLE,Accapella,2023,FOB,2023-06-04,2706
Jack Dragon,Duff,NRWeekend 6,Accapella,2023,DLTLLY,2023-06-04,24053
XtraHerb,Trunkenbold,Battle,Accapella,2023,Unknown,2023-06-03,8412
T-WAY & TOLLSCHOCK & BURST & EZRA & HEINZ87,NATIF (& YAAMANN),5 GEGEN NATIF,Accapella,2023,FOB,2023-05-31,6237
Yarambo,Craze,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-28,90464
Nio,Vesso,Battle,Accapella,2023,Unknown,2023-05-27,6387
Celune,Wenzel Washington,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-26,21781
Joseph Steinschleuder,Requiem,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-21,32123
S-Staticx,Rebellion,Battle,Accapella,2023,Unknown,2023-05-20,5717
Valik,Davis,Proving Grounds Berlin,Accapella,2023,DLTLLY,2023-05-19,12546
DADDA,P-HAZE,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-19,4134
Neilz,Tobi High,NRWeekend 6,Accapella,2023,DLTLLY,2023-05-14,57432
JANAUND,PESC,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-12,5016
MOODY,NEOS,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-07,2886
CLOUDSURFER,CSN GALACTICO,ACAPELLA BATTLE,Accapella,2023,FOB,2023-05-05,3366
DER SERGEANT,M.F.L.,ACAPELLA BATTLE,Accapella,2023,FOB,2023-04-28,6279
MORGANA,STEEL,ON BEAT BATTLE,On Beat,2023,FOB,2023-04-21,21545
PHASENKIND,MC COLOGNE,ON BEAT BATTLE,On Beat,2023,FOB,2023-04-14,14108
Maka,Zeptah,NRWeekend 6,Accapella,2023,DLTLLY,2023-04-09,15687
Niza,Heinz87,Proving Grounds Kontext Wiesbaden,Accapella,2023,DLTLLY,2023-04-02,15107
