Name #1,Name #2,Event,Type,Date (Year)
Mars B.,Joseph Steinschleuder,DLTLLY RapBattle (Kassel),Rap Battle,2019
Julo,Senad,DLTLLY RapBattle (CoEvent4,Rap Battle,2019
Kid Soldier,Karma,DLTLLY RapBattle (Kassel),Rap Battle,2019
Lug Serious,Audienzz,DLTLLY RapBattle (CoEvent4,Rap Battle,2019
Django,Craze,DLTLLY RapBattle (CoEvent4,Rap Battle,2019
SnakeHeadRhyme,Shizu,DLTLLY RapBattle (CoEvent4,Rap Battle,2019
JollyJay,Buddi,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Akanoo,MC Geuner,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Craze,Lug Serious,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Joseph Steinschleuder,Vinci,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Django,Ryko-J,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Mr. Whyte,Bruda Tuck,DLTLLY RapBattle (Dortmund,Rap Battle,2018
T-Way,N'antinein,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Wandelbarz,Tao,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Henker,Highdemann,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Lyrico,Henrey,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Olio,Indoor Stan,DLTLLY OnBeatBattle (Leipzig),On Beat,2018
A-Ron,Chinooka,DLTLLY RapBattle (Dortmund,Rap Battle,2018
SnakeHeadRhyme,RenetiXX,DLTLLY RapBattle (Leipzig),Rap Battle,2018
Leonidas,Zeuge,DLTLLY RapBattle (Dortmund,Rap Battle,2018
Yarambo,Bong Teggy,DLTLLY RapBattle (B.Day#5,Rap Battle,2018
Pilz,Davie Jones,DLTLLY RapBattle (B.Day#5,Rap Battle,2018
Kid Soldier,DXXDSTXCK,DLTLLY RapBattle (Leipzig),Rap Battle,2018
Ano-nym,Pueblo Escobar,DLTLLY OnBeatBattle (Leipzig),On Beat,2018
Plural,T-Jey,DLTLLY RapBattle (Leipzig),Rap Battle,2018
Robscure,Vyrus,DLTLLY RapBattle (B.Day#5,Rap Battle,2018
Mave,Kato,DLTLLY Freestyle-RapBattle (HipHopKemp),Rap Battle,2018
Kato,Mars B.,DLTLLY RapBattle (FFM),Rap Battle,2018
Fabelouis,RenetiXX,DLTLLY RapBattle (FFM),Rap Battle,2018
Ano-nym,Wolff,DLTLLY NextGeneration Finale (FFM),Rap Battle,2018
Pueblo Escobar,Mave,DLTLLY OnBeatBattle (HipHopKemp,On Beat,2018
Joe Pharo,Joseph Steinschleuder,DLTLLY RapBattle (FFM),Rap Battle,2018
Cashus K,Barracuda,DLTLLY Rap Battle (FFM),Rap Battle,2018
Brian Damage + Karma,Lyrico + Bauda,DLTLLY OnBeatBattle (HipHopKemp,On Beat,2018
Tao,Shortworth,DLTLLY RapBattle (FFM),Rap Battle,2018
DXXDSTXCK,Bruda Tuck,DLTLLY NewcomerBattle  (D&DL-Co-Event3,Rap Battle,2018
Nedal Nib,CLEP,Studio Version + Extra 4. Runde,Rap Battle,Unknown
Farmer,Splopf,DLTLLY NewcomerBattle  (D&DL-Co-Event3,Rap Battle,2018
Tecey,Kid Soldier,DLTLLY NewcomerBattle  (D&DL-Co-Event3,Rap Battle,2018
A-Ron,Shizu,DLTLLY NewcomerBattle  (D&DL-Co-Event3,Rap Battle,2018
Clep,Nedal Nib,DLTLLY OnBeatBattle (Splash21),On Beat,2018
Yarambo,Clep,REMATCH!,Rap Battle,2018
N'antinein,Bong Teggy,DLTLLY OnBeatBattle (Splash21),On Beat,2018
Robscure + Karma,Wolff + Joe Pharo,DLTLLY RapBattle (Hamburg),Rap Battle,2018
MC Geuner,Vinci,DLTLLY RapBattle (Hamburg),Rap Battle,2018
RenetiXX,Karanova,DLTLLY RapBattle (Hamburg),Rap Battle,2018
Indoor Stan,Mikesh,DLTLLY RapBattle (Hamburg),Rap Battle,2018
Cashus K,Aris,DLTLLY RapBattle (Hamburg),Rap Battle,2018
VT,Bong Teggy,DLTLLY RapBattle (MAYhem3,Rap Battle,2018
Davie Jones,Karma,DLTLLY RapBattle (MAYhem3,Rap Battle,2018
